Sector number,Name,Unit,Region,DR_WEOH_impact_(DALYper$),TR_WEOH_impact_(DALYper$)
179,Other furniture related product manufacturing,USA,America,1.60E-08,5.50E-08
180,Surgical and medical instrument manufacturing,USA,America,1.29E-08,2.74E-08
181,Surgical appliance and supplies manufacturing,USA,America,1.19E-08,2.93E-08
182,Dental equipment and supplies manufacturing,USA,America,1.76E-08,3.19E-08
183,Ophthalmic goods manufacturing,USA,America,1.99E-08,3.37E-08
184,Dental laboratories,USA,America,2.42E-08,3.67E-08
185,Jewelry and silverware manufacturing,USA,America,7.71E-09,2.54E-08
186,Sporting and athletic goods manufacturing,USA,America,2.32E-08,5.19E-08
187,"Doll, toy, and game manufacturing",USA,America,1.72E-08,3.55E-08
188,Office supplies (except paper) manufacturing,USA,America,2.70E-08,4.92E-08
189,Sign manufacturing,USA,America,3.68E-08,6.36E-08
190,All other miscellaneous manufacturing,USA,America,3.12E-08,5.37E-08
191,Dog and cat food manufacturing,USA,America,9.80E-09,4.15E-08
192,Other animal food manufacturing,USA,America,7.01E-09,4.15E-08
193,Flour milling and malt manufacturing,USA,America,1.70E-08,5.33E-08
194,Wet corn milling,USA,America,3.65E-09,3.52E-08
195,Fats and oils refining and blending,USA,America,7.10E-09,4.05E-08
196,Soybean and other oilseed processing,USA,America,3.78E-09,3.38E-08
197,Breakfast cereal manufacturing,USA,America,1.06E-08,4.06E-08
198,Sugar and confectionery product manufacturing,USA,America,1.74E-08,5.24E-08
199,Frozen food manufacturing,USA,America,3.37E-08,7.76E-08
200,"Fruit and vegetable canning, pickling, and drying",USA,America,2.39E-08,6.75E-08
201,Cheese manufacturing,USA,America,2.00E-08,1.18E-07
202,"Dry, condensed, and evaporated dairy product manufacturing",USA,America,1.41E-08,8.80E-08
203,Fluid milk and butter manufacturing,USA,America,2.07E-08,1.03E-07
204,Ice cream and frozen dessert manufacturing,USA,America,1.29E-07,1.85E-07
205,Poultry processing,USA,America,3.66E-08,8.46E-08
206,"Animal (except poultry) slaughtering, rendering, and processing",USA,America,2.14E-08,6.16E-08
207,Seafood product preparation and packaging,USA,America,1.04E-08,6.21E-08
208,Bread and bakery product manufacturing,USA,America,4.25E-08,6.95E-08
209,"Cookie, cracker, pasta, and tortilla manufacturing",USA,America,3.43E-08,6.91E-08
210,Snack food manufacturing,USA,America,1.15E-08,4.50E-08
211,Coffee and tea manufacturing,USA,America,7.60E-09,5.64E-08
212,Flavoring syrup and concentrate manufacturing,USA,America,7.48E-09,3.16E-08
213,Seasoning and dressing manufacturing,USA,America,3.00E-08,6.94E-08
214,All other food manufacturing,USA,America,4.03E-08,8.19E-08
215,Soft drink and ice manufacturing,USA,America,2.44E-08,5.62E-08
216,Breweries,USA,America,3.84E-08,6.21E-08
217,Wineries,USA,America,2.39E-08,5.51E-08
218,Distilleries,USA,America,6.00E-09,2.72E-08
219,Tobacco product manufacturing,USA,America,2.01E-09,1.34E-08
220,"Fiber, yarn, and thread mills",USA,America,2.04E-08,5.38E-08
221,Fabric mills,USA,America,5.17E-08,7.85E-08
222,Textile and fabric finishing and fabric coating mills,USA,America,2.02E-08,5.34E-08
223,Carpet and rug mills,USA,America,6.98E-09,3.85E-08
224,Curtain and linen mills,USA,America,2.90E-08,6.24E-08
225,Other textile product mills,USA,America,3.48E-08,6.28E-08
226,Apparel manufacturing,USA,America,4.74E-08,6.70E-08
227,Leather and allied product manufacturing,USA,America,5.73E-08,8.72E-08
228,Pulp mills,USA,America,9.46E-09,4.82E-08
229,Paper mills,USA,America,7.82E-09,3.85E-08
230,Paperboard mills,USA,America,4.08E-09,3.73E-08
231,Paperboard container manufacturing,USA,America,1.98E-08,4.99E-08
232,Paper Bag and Coated and Treated Paper Manufacturing,USA,America,1.99E-08,4.86E-08
233,Stationery product manufacturing,USA,America,2.08E-08,4.89E-08
234,Sanitary paper product manufacturing,USA,America,1.47E-08,4.56E-08
235,All other converted paper product manufacturing,USA,America,2.88E-08,5.69E-08
236,Printing,USA,America,2.14E-08,4.24E-08
237,Support activities for printing,USA,America,3.10E-08,4.80E-08
238,Petroleum refineries,USA,America,6.86E-10,1.26E-08
239,Asphalt paving mixture and block manufacturing,USA,America,3.01E-09,2.07E-08
240,Asphalt shingle and coating materials manufacturing,USA,America,6.39E-09,2.15E-08
241,Other petroleum and coal products manufacturing,USA,America,4.29E-09,1.92E-08
242,Petrochemical manufacturing,USA,America,1.52E-09,1.54E-08
243,Industrial gas manufacturing,USA,America,9.21E-09,2.52E-08
244,Synthetic dye and pigment manufacturing,USA,America,2.65E-08,4.39E-08
245,Other Basic Inorganic Chemical Manufacturing,USA,America,7.08E-09,2.49E-08
246,Other basic organic chemical manufacturing,USA,America,5.06E-09,2.82E-08
247,Plastics material and resin manufacturing,USA,America,8.51E-09,2.96E-08
248,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,USA,America,8.26E-09,3.02E-08
249,Medicinal and botanical manufacturing,USA,America,9.17E-09,1.96E-08
250,Pharmaceutical preparation manufacturing,USA,America,5.09E-09,1.41E-08
251,In-vitro diagnostic substance manufacturing,USA,America,7.01E-09,1.64E-08
252,Biological product (except diagnostic) manufacturing,USA,America,7.82E-09,1.37E-08
253,Fertilizer manufacturing,USA,America,1.12E-08,3.22E-08
254,Pesticide and other agricultural chemical manufacturing,USA,America,3.56E-09,2.49E-08
255,Paint and coating manufacturing,USA,America,2.90E-08,5.31E-08
256,Adhesive manufacturing,USA,America,3.02E-08,5.22E-08
